x,year,month,tw_use_m01,tw_use_m02,tw_use_m03,tw_use_m04,tw_use_m05,tw_use_m06,tw_use_m07,tw_use_m08,tw_use_m09,tw_use_m10,tw_use_m11,tw_use_m12,,label
꽈추형,2022,2,5202,3280,9527,3672,3422,2807,118,79,40,51,23,8,,0
나는 실패작이래,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
내가 낳을 걸,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
내부총질,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
너 개못하잖아,2022,4,18989,10088,7348,1835,2038,992,251,108,100,96,99,32,,0
농ㅋㅋ,2022,8,47,45,40,24,7,5,0,6,5,4,9,0,,0
돈이 될까?,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
돌아가는 감자칩,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
두창,2022,2,23,49,54,28,23,23,0,10,10,9,8,3,,0
따봉XX야 고마워,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
또 이러신다 밥이나 드세요,2022,5,12,17,86,27,16,18,17,16,11,9,52,16,,0
맥락맹,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
몇개고?,2022,7,2538,1689,822,346,151,127,50,296,17,0,0,0,,0
백룸,2022,11,65,41,89,29,19,28,17,5,0,9,3,0,,0
사이버 유격,2022,3,57,45,54,66,31,37,24,34,48,53,36,41,,0
시간 빌게이츠,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
안아줘요,2022,11,3193,2229,4423,3464,1632,982,1807,3450,3542,2395,185,1745,,1
어떻게 지평좌표계로 고정을 하셨죠?,2022,2,65,172,72,53,27,19,17,14,5,3,10,7,,0
엄청나게 마이 뉴 기어 하고 싶어~!!,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
고트,2022,2,4087,8393,15347,8345,4256,3388,5631,5364,6391,9034,4124,5383,,1
예쁘잖아,2022,11,61,88,63,62,100,96,81,83,56,43,40,84,,0
온 세상이 XXX다,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
오히려 좋아,2022,11,14757,17236,17035,20815,15310,16721,13791,9194,13996,8754,13363,7915,,1
와캬퍄헉농ㅋㅋ,2022,6,34,81,89,23,23,24,15,13,3,11,9,0,,0
울프는 겜알못이다,2022,11,62,131,44,20,14,8,5,4,8,4,9,7,,0
이게 팀이야?,2022,12,55,216,43,30,25,9,10,4,10,0,0,4,,0
이제는 더 이상 물러날 곳이 없다,2022,10,2243,1388,1284,507,246,184,271,130,49,147,62,106,,0
이지두댄스,2022,1,52,26,17,5,6,10,0,2,5,12,14,9,,0
재즈가 뭐라고 생각하세요,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
주변도르,2022,2,100,38,18,24,101,85,40,72,38,102,33,32,,0
추앙해요,2022,9,111,102,87,111,104,105,143,110,252,138,125,139,,0
평균 올려치기,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
하지만 빨랐죠,2022,2,8750,9167,13616,6294,4460,1827,145,246,273,131,116,95,,0
화성 갈끄니까,2022,7,5282,5391,9672,5998,4378,2148,62,183,203,227,159,77,,0
황시,2022,6,37,16,11,8,6,5,0,14,0,0,10,12,,0
Bing chilling,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
XX 그 잡채,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
~기견,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
무야호,2021,12,8151,10197,4491,3058,2332,2534,2508,3200,3387,4020,3314,2355,,1
팝캣,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
강아지 경찰 아저씨,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
포브스 선정 00,2021,11,9664,26040,57167,24812,6537,8905,10042,11285,13277,7401,6278,6807,,1
스윗중남,2021,3,375,571,564,720,733,1102,1562,192,1675,1331,1811,2026,,1
비트 밈,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
롤린,2021,3,1576,2603,1492,1337,770,538,396,270,197,221,104,63,,0
시무라 아주머니,2021,9,15,13,13,15,12,10,12,7,15,12,97,53,,0
멈춰!,2021,2,158,372,426,198,190,78,43,56,50,35,25,9,,0
마이야히,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
육군 we 육군,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
머니게임,2021,10,495,590,1899,689,336,117,115,273,18,0,0,0,,0
나락송,2021,4,25,53,172,42,29,10,11,0,11,9,0,14,,0
아라아라,2021,8,39,60,54,38,11,13,8,12,13,3,0,10,,0
흔한 여고생들의 뻘짓,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
근데 이제 뭐함?,2021,9,110,43,26,12,11,0,0,5,0,0,0,3,,0
넥스트 레벨,2021,7,967,721,1620,453,366,233,182,124,133,198,52,108,,0
굿바이 선언,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
제로투 댄스,2021,7,20,25,46,23,27,24,35,18,19,21,16,20,,0
한심좌,2021,9,7905,4482,3497,1989,1330,393,492,137,709,0,9,9,,0
샤방송,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
똥 밟았네,2021,7,36,25,30,26,33,53,35,45,39,104,32,27,,0
2020 도쿄 올림픽 픽토그램,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
활벤져스,2021,7,37,93,39,23,12,0,9,3,9,8,0,0,,0
소금소금소금팥팥팥,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
잭 오,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
그런건 없다 게이야,2021,4,43,77,45,27,13,11,0,10,14,11,0,5,,0
성윤모,2021,11,255,420,612,1035,977,1694,1821,1769,200,1654,1515,1480,,1
앙카 존 댄스,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
라고 할 뻔,2021,2,523,668,1073,2676,4415,5771,6193,5136,5948,6916,5716,9667,,1
설거지론,2021,7,323,147,181,88,35,32,8,6,13,10,0,6,,0
